;action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
1222;655;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt;;
1223;657;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
1224;657;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1225;657;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
1226;657;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
1227;657;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Aménagement du territoire, ruralité et collectivités territoriales;;
1228;658;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1229;658;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
1230;658;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1231;658;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
1232;658;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
1233;658;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
1234;658;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
1235;658;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Aménagement du territoire, ruralité et collectivités territoriales, Environnement, énergie et mer;;
1236;658;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité de la concurrence;
1237;658;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité de la concurrence;;
1238;660;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1239;660;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
1240;660;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1241;660;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
1242;660;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
1243;660;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Aménagement du territoire, ruralité et collectivités territoriales;;
1244;661;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1245;661;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
1246;661;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1247;661;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
1248;661;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
1249;661;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
1250;661;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
1251;661;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Aménagement du territoire, ruralité et collectivités territoriales, Environnement, énergie et mer;;
1252;663;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1253;663;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
1254;663;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1255;663;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1256;663;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Economie et finances;;
1257;664;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1258;664;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
1259;664;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1260;664;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1261;664;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Economie et finances;;
1262;666;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1263;666;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
1264;666;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1265;666;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1266;666;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Economie et finances;;
1267;667;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1268;667;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
1269;667;Membre du Gouvernement ou membre de cabinet ministériel; Intérieur;
1270;667;Membre du Gouvernement ou membre de cabinet ministériel; Travail;
1271;667;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
1272;667;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
1273;667;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
1274;667;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
1275;667;Membre du Gouvernement ou membre de cabinet ministériel; Justice;
1276;667;Membre du Gouvernement ou membre de cabinet ministériel; Défense;
1277;667;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1278;667;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
1279;667;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
1280;667;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Intérieur, Travail, emploi, formation professionnelle et dialogue social, Aménagement du territoire, ruralité et collectivités territoriales, Justice, Défense, Economie et finances, Education nationale, enseignement supérieur et recherche;;
1281;668;Membre du Gouvernement ou membre de cabinet ministériel;Culture et communication;
1282;668;Membre du Gouvernement ou membre de cabinet ministériel - Culture et communication;;
1283;669;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;SE au Numérique
1284;669;Membre du Gouvernement ou membre de cabinet ministériel; Justice;SE au Numérique
1285;669;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;SE au Numérique
1286;669;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Justice, Economie et finances;;SE au Numérique
1287;670;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1288;670;Membre du Gouvernement ou membre de cabinet ministériel; Ville;
1289;670;Membre du Gouvernement ou membre de cabinet ministériel; jeunesse et sport;
1290;670;Membre du Gouvernement ou membre de cabinet ministériel; Fonction publique;
1291;670;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
1292;670;Membre du Gouvernement ou membre de cabinet ministériel; Intérieur;
1293;670;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
1294;670;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
1295;670;Membre du Gouvernement ou membre de cabinet ministériel; Défense;
1296;670;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
1297;670;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
1298;670;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
1299;670;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
1300;670;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
1301;670;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Ville, jeunesse et sport, Fonction publique, Culture et communication, Intérieur, Aménagement du territoire, ruralité et collectivités territoriales, Défense, Affaires sociales et santé, Economie et finances, Education nationale, enseignement supérieur et recherche, Affaires étrangères et développement international;;
1302;670;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité de régulation des communications électroniques et des postes;
1303;670;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante; Commission nationale de l'informatique et des libertés;
1304;670;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité de régulation des communications électroniques et des postes, Commission nationale de l'informatique et des libertés;;
1305;671;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
1306;671;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1307;671;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
1308;672;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
1309;672;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1310;672;Membre du Gouvernement ou membre de cabinet ministériel; Travail;
1311;672;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
1312;672;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
1313;672;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Travail, emploi, formation professionnelle et dialogue social;;
1314;673;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
1315;673;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1316;673;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
1317;673;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
1318;673;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Environnement, énergie et mer;;
1319;674;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
1320;674;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1321;674;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
1322;675;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1323;675;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
1324;675;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
1325;675;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
1326;675;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
1327;675;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Environnement, énergie et mer;;
